City0,City1,City2,City3,City4,City5,City6,City7,City8,City9,City10,City11,City12,City13
23,34,17,31,12,34,6,33,2,36,1,37,-4,30
32,27,35,25,36,18,38,13,33,8,35,11,35,11
39,14,34,11,31,4,34,1,36,4,33,-2,27,0
40,16,41,15,42,15,41,16,35,15,37,17,31,15
37,9,40,11,34,10,33,3,35,6,35,4,35,-1
36,12,30,15,31,11,33,9,31,10,32,6,29,3
27,15,24,14,25,10,21,6,15,9,14,10,13,11
27,20,29,14,26,16,24,10,23,3,24,-2,24,-7
23,22,17,16,13,17,9,18,2,20,-3,16,-5,11
18,27,11,23,4,21,5,22,7,22,7,24,4,23
14,26,8,24,8,18,2,13,4,16,-1,15,-8,11
19,30,21,31,20,34,15,30,16,32,13,27,8,27
29,29,30,24,29,18,28,19,31,22,31,25,30,19
37,14,31,15,25,8,23,9,22,2,18,-5,18,-12
42,18,40,15,33,18,36,16,39,9,37,7,34,0
35,9,28,3,22,3,17,2,11,4,13,-2,16,-7
40,14,35,8,35,2,35,0,37,-4,32,-8,31,-15
26,11,22,6,15,9,8,3,7,4,5,6,8,5
30,20,32,23,30,23,31,26,33,28,36,30,38,27
22,24,20,20,18,19,19,12,22,14,15,9,10,11
18,31,11,30,11,29,11,31,4,29,-3,28,-9,30
13,25,8,25,4,20,3,23,3,17,-1,15,-5,11
21,33,21,36,20,32,21,32,14,27,14,26,15,22
31,26,34,21,27,23,24,26,20,19,21,15,22,12
